,stockSymbol1,stockSymbol2,corr,cov
176,AAPL,FCX,0.24,0.42
177,AAPL,GPS,0.23,0.41
178,AAPL,GRMN,0.31,0.42
179,AAPL,IT,0.28,0.44
180,AAPL,GNRC,0.69,0.88
181,AAPL,GD,0.27,0.45
182,AAPL,GE,0.17,0.31
183,AAPL,GIS,0.14,0.22
184,AAPL,GM,-0.04,-0.07
185,AAPL,GPC,0.09,0.14
186,AAPL,GILD,0.08,0.1
187,AAPL,GL,0.46,0.76
188,AAPL,GPN,0.5,0.74
189,AAPL,GS,0.43,0.76
190,AAPL,GWW,0.56,0.87
191,AAPL,HAL,0.25,0.4
192,AAPL,HIG,0.18,0.36
193,AAPL,HAS,0.35,0.53
194,AAPL,HCA,0.23,0.36
195,AAPL,HSIC,0.32,0.44
196,AAPL,HSY,-0.12,-0.18
197,AAPL,HES,0.43,0.69
198,AAPL,HPE,0.26,0.42
199,AAPL,HLT,0.19,0.33
200,AAPL,HOLX,0.23,0.35
201,AAPL,HD,0.56,0.88
202,AAPL,HON,0.37,0.57
203,AAPL,HRL,0.16,0.22
204,AAPL,HST,0.28,0.46
205,AAPL,HWM,0.32,0.53
206,AAPL,HPQ,0.37,0.62
207,AAPL,HUM,0.61,0.93
208,AAPL,HII,0.28,0.43
209,AAPL,IEX,0.39,0.58
210,AAPL,IDXX,0.48,0.75
211,AAPL,INFO,0.59,0.82
212,AAPL,ITW,0.3,0.47
213,AAPL,ILMN,0.4,0.58
214,AAPL,INCY,0.02,0.03
215,AAPL,IR,0.24,0.38
216,AAPL,INTC,0.05,0.07
217,AAPL,ICE,0.37,0.53
218,AAPL,IP,0.19,0.34
219,AAPL,IPG,0.18,0.3
220,AAPL,IFF,-0.07,-0.1
221,AAPL,INTU,0.33,0.44
222,AAPL,ISRG,0.59,0.82
223,AAPL,IVZ,0.14,0.25
224,AAPL,IPGP,0.25,0.4
225,AAPL,IQV,0.17,0.25
226,AAPL,IRM,0.16,0.27
227,AAPL,JKHY,0.53,0.79
228,AAPL,J,0.46,0.68
229,AAPL,SJM,-0.1,-0.15
230,AAPL,JNJ,0.15,0.21
231,AAPL,JCI,0.26,0.47
232,AAPL,JPM,0.46,0.76
233,AAPL,JNPR,0.22,0.34
234,AAPL,KSU,0.5,0.78
235,AAPL,K,0.59,0.89
236,AAPL,KEY,0.46,0.79
237,AAPL,KEYS,0.22,0.3
238,AAPL,KIM,0.25,0.41
239,AAPL,KMI,0.13,0.22
240,AAPL,KLAC,0.44,0.68
241,AAPL,KHC,0.39,0.59
242,AAPL,KR,0.31,0.45
243,AAPL,LHX,0.25,0.38
244,AAPL,LH,0.45,0.74
245,AAPL,LRCX,0.31,0.49
246,AAPL,LW,0.28,0.42
247,AAPL,LVS,0.14,0.22
248,AAPL,LEG,0.34,0.54
249,AAPL,LDOS,0.42,0.62
250,AAPL,LEN,0.33,0.53
251,AAPL,LLY,0.02,0.02
252,AAPL,LNC,0.19,0.32
253,AAPL,LIN,0.35,0.47
254,AAPL,LYV,0.06,0.1
255,AAPL,LKQ,0.39,0.64
256,AAPL,LMT,0.37,0.6
257,AAPL,L,0.2,0.36
258,AAPL,LOW,0.59,0.82
259,AAPL,LUMN,0.5,0.82
260,AAPL,MRO,0.28,0.48
261,AAPL,MPC,0.46,0.76
262,AAPL,MKTX,-0.04,-0.06
263,AAPL,MAR,0.16,0.28
264,AAPL,MMC,0.22,0.33
265,AAPL,MLM,0.22,0.39
266,AAPL,MAS,0.4,0.67
267,AAPL,MA,0.49,0.64
268,AAPL,MKC,0.33,0.53
269,AAPL,MXIM,0.4,0.62
270,AAPL,MCD,-0.17,-0.26
271,AAPL,MCK,0.27,0.42
272,AAPL,MDT,0.46,0.7
273,AAPL,MRK,0.14,0.21
274,AAPL,MET,0.23,0.39
275,AAPL,MTD,0.08,0.12
276,AAPL,MGM,0.23,0.39
277,AAPL,MCHP,0.3,0.46
278,AAPL,MU,0.37,0.56
279,AAPL,MSFT,0.68,0.73
280,AAPL,MAA,0.26,0.39
281,AAPL,MHK,0.12,0.22
282,AAPL,TAP,0.05,0.08
283,AAPL,MDLZ,-0.0,-0.01
284,AAPL,MPWR,0.63,0.85
285,AAPL,MNST,0.33,0.41
286,AAPL,MCO,0.43,0.66
287,AAPL,MS,0.38,0.65
288,AAPL,MOS,0.12,0.22
289,AAPL,MSI,0.11,0.18
290,AAPL,MSCI,0.46,0.57
291,AAPL,NDAQ,0.51,0.71
292,AAPL,NTAP,0.39,0.68
293,AAPL,NFLX,0.25,0.37
294,AAPL,NWL,0.24,0.42
295,AAPL,NEM,0.01,0.02
296,AAPL,NWSA,0.22,0.41
297,AAPL,NWS,0.24,0.44
298,AAPL,NEE,0.3,0.37
299,AAPL,NLSN,-0.02,-0.04
300,AAPL,NKE,0.56,0.79
301,AAPL,NI,-0.09,-0.14
302,AAPL,NSC,0.29,0.41
303,AAPL,NTRS,0.39,0.66
304,AAPL,NOC,0.21,0.36
305,AAPL,NCLH,0.15,0.25
306,AAPL,NOV,0.43,0.71
307,AAPL,NRG,0.07,0.11
308,AAPL,NUE,0.23,0.42
309,AAPL,NVDA,0.69,1.13
310,AAPL,NVR,0.15,0.26
311,AAPL,NXPI,0.27,0.43
312,AAPL,ORLY,0.23,0.32
313,AAPL,OXY,0.26,0.43
314,AAPL,ODFL,0.52,0.71
315,AAPL,OMC,-0.18,-0.32
316,AAPL,OKE,0.39,0.69
317,AAPL,ORCL,0.08,0.12
318,AAPL,PCAR,0.42,0.61
319,AAPL,PKG,0.33,0.55
320,AAPL,PH,0.42,0.62
321,AAPL,PAYX,0.24,0.39
322,AAPL,PAYC,0.34,0.47
323,AAPL,PYPL,0.2,0.29
324,AAPL,PENN,0.58,0.99
325,AAPL,PNR,0.3,0.53
326,AAPL,PEP,0.25,0.34
327,AAPL,PKI,0.4,0.58
328,AAPL,PRGO,0.53,0.76
329,AAPL,PFE,0.15,0.23
330,AAPL,PM,0.12,0.18
331,AAPL,PSX,0.44,0.71
332,AAPL,PNW,-0.3,-0.46
333,AAPL,PXD,0.28,0.44
334,AAPL,PNC,0.33,0.59
335,AAPL,POOL,0.6,0.81
336,AAPL,PPG,0.31,0.5
337,AAPL,PPL,0.21,0.29
338,AAPL,PG,0.12,0.19
339,AAPL,PGR,0.16,0.23
340,AAPL,PLD,0.41,0.6
341,AAPL,PRU,0.22,0.38
342,AAPL,PTC,0.38,0.6
343,AAPL,PEG,0.09,0.13
344,AAPL,PSA,-0.02,-0.03
345,AAPL,PHM,0.2,0.33
346,AAPL,PVH,0.29,0.5
347,AAPL,QRVO,0.66,0.97
348,AAPL,PWR,0.28,0.45
349,AAPL,QCOM,0.69,1.0
