Symbol
A
AAPL
AC.TO
ACN
ADI
ADP
ADSK
AEE
AJG
ALGN
ALL
AMAT
AMD
AME
AMT
AMZN
ANSS
ANTM
AON
AOS
APH
ARE
ARKG
ASML
ATO
ATVI
AVGO
AVY
AWK
AXP
AZO
BIO
BLK
BLL
BR
CARR
CDNS
CDW
CHTR
CMCSA
CME
CMG
CNQ.TO
COST
CP.TO
CPRT
CRL
CRM
CSX
CTAS
CZR
DG
DGX
DHI
DHR
DOCU
DOV
DPZ
DRE
EA
ECL
EFX
EL
ENPH
EQIX
ETSY
EW
EXR
FAST
FIS
FISV
FRC
FTNT
FTV
GL
GLD
GNRC
GOOG
GOOGL
GPN
GRMN
HCA
HD
HIMX
HLT
HOLX
HON
HUM
ICE
IDXX
IEX
INFO
INTC
INTU
IQV
ISRG
IT
ITW
J
JKHY
KEYS
KL
KL.TO
KLAC
KO
KSU
LH
LHX
LIN
LMT
LOW
LRCX
LULU
LW
LYV
MA
MAA
MAR
MCHP
MCO
MDT
MELI
MKC
MKTX
MMC
MPWR
MRNA
MSCI
MSFT
MSI
MTCH
MTD
MRNA
MVY
NDAQ
NEE
NFLX
NI
NKE
NOC
NOW
NSC
NTES
NVDA
NVR
NXPI
ODFL
OKTA
ORLY
OTIS
PAYC
PDD
PFE
PGR
PLD
POOL
PTON
PYPL
RMD
ROK
ROL
ROP
ROST
ROYMY
RSG
SGEN
SHW
SLV
SNPS
SPGI
SPY
STE
STZ
SWK
SYK
SYY
TD.TO
TDG
TDY
TEAM
TEL
TFX
TGT
TJX
TLRY
TMO
TMUS
TROW
TSLA
TT
TTWO
TXN
TYL
UDR
ULTA
UNH
UNP
V
VIX
VRSK
VRSN
WM
WMT
WST
XBI
XEL
YUM
ZM
ZTS
