Symbol
AAPL
ADSK
AEY
AGEN
AGYS
AJG
ALGN
ALLT
AMD
AMED
AMZN
ANSS
AON
APPF
APPN
APPS
APTO
ARCT
AREC
ARGX
ARWR
ASML
ASYS
AUDC
AWK
AZO
BCOV
BIMI
BIO
BL
BLDP
CAMT
CARR
CDNA
CDNS
CJJD
CLSK
CODA
COST
COUP
CP.TO
CPRT
CRL
CRMT
CROX
CRSP
CSWI
CWST
CYRX
DG
DHR
DIOD
DOCU
DRNA
EGAN
ELTK
ENLV
ENPH
ETSY
EXPO
FATE
FELE
FISV
FIVN
FPAY
FRPT
FTNT
GDS
GNRC
GOOG
GOOGL
GPN
GRMN
GRVY
HROW
IAC
ICE
IDN
IEC
IMKTA
INSG
INTC
INTU
IQV
IRDM
JCS
JKHY
JOUT
KEYS
KNSL
KRNT
KSU
LRCX
LULU
LUNA
LWAY
MA
MARA
MASI
MEDP
MELI
MPWR
MRNA
MRTX
MSCI
MSFT
MTCH
MYT
NEE
NEO
NICE
NISN
NOW
NTES
NVCR
ODFL
OESX
OKTA
OPRX
ORGO
ORLY
OTIS
PAVM
PAYC
PCOM
PDD
PDEX
PGR
PLPC
PODD
POOL
PRPL
PTON
PYPL
QURE
RGEN
RMD
ROCK
RPD
RSG
SAVA
SEDG
SGEN
SLP
SMMT
SNPS
SPWH
SRNE
STAA
STE
TDY
TEAM
TECH
TGT
TMO
TNDM
TRNS
TTD
UFPT
V
VERI
VICR
VNET
VRNS
VSTM
WING
WM
WMT
WST
XLRN
Z
ZG
ZM
ZNGA
ZYXI
TLRY
KO
PFE
SPY
XBI
SLV
CNQ
MVY
ROYMY
CP
CNR.TO
TD.TO
